74, AA, 0
110, AA, 1
145, BB, 0
154, CC, 0
163, AA, 2
184, AA, 3
193, BB, 1
202, CC, 1
211, DD, 0
222, AA, 4
231, BB, 2
240, CC, 2
250, DD, 1
259, BB, 3
268, AA, 5
277, CC, 3
286, DD, 2
295, BB, 4
305, AA, 6
314, CC, 4
323, DD, 3
334, AA, 7
343, BB, 5
352, CC, 5
361, DD, 4
371, BB, 6
380, AA, 8
389, CC, 6
398, DD, 5
407, BB, 7
416, AA, 9
426, CC, 7
435, DD, 6
446, AA, 10
455, BB, 8
464, CC, 8
473, DD, 7
482, BB, 9
492, AA, 11
501, CC, 9
510, DD, 8
519, BB, 10
528, AA, 12
537, CC, 10
547, DD, 9
556, AA, 13
565, BB, 11
574, CC, 11
583, DD, 10
592, BB, 12
602, AA, 14
611, CC, 12
620, DD, 11
629, BB, 13
638, AA, 15
647, CC, 13
657, DD, 12
668, AA, 16
677, BB, 14
686, CC, 14
695, DD, 13
704, BB, 15
713, AA, 17
723, CC, 15
732, DD, 14
741, BB, 16
750, AA, 18
759, CC, 16
768, DD, 15
778, AA, 19
787, BB, 17
796, CC, 17
805, DD, 16
814, BB, 18
823, AA, 20
833, CC, 18
842, DD, 17
851, BB, 19
860, AA, 21
869, CC, 19
878, DD, 18
889, AA, 22
899, BB, 20
908, CC, 20
917, DD, 19
926, BB, 21
935, AA, 23
944, CC, 21
954, DD, 20
963, AA, 24
972, BB, 22
981, CC, 22
990, DD, 21
1001, AA, 25
1010, BB, 23
1020, CC, 23
1029, DD, 22
1038, BB, 24
1047, AA, 26
1056, CC, 24
1065, DD, 23
1075, AA, 27
1084, BB, 25
1093, CC, 25
1102, DD, 24
1113, AA, 28
1122, BB, 26
1131, CC, 26
1141, DD, 25
1150, BB, 27
1159, AA, 29
1168, CC, 27
1177, DD, 26
1186, AA, 30
1196, BB, 28
1205, CC, 28
1214, DD, 27
1223, AA, 31
1232, BB, 29
1241, CC, 29
1251, DD, 28
1260, BB, 30
1269, AA, 32
1278, CC, 30
1287, DD, 29
1296, AA, 33
1306, BB, 31
1315, CC, 31
1324, DD, 30
1335, AA, 34
1344, BB, 32
1353, CC, 32
1362, DD, 31
1372, BB, 33
1381, AA, 35
1390, CC, 33
1399, DD, 32
1408, AA, 36
1417, BB, 34
1427, CC, 34
1436, DD, 33
1445, AA, 37
1454, BB, 35
1463, CC, 35
1472, DD, 34
1482, BB, 36
1491, AA, 38
1500, CC, 36
1509, DD, 35
1518, AA, 39
1527, BB, 37
1537, CC, 37
1546, DD, 36
1557, AA, 40
1566, BB, 38
1575, CC, 38
1584, DD, 37
1593, BB, 39
1603, AA, 41
1612, CC, 39
1621, DD, 38
1630, AA, 42
1639, BB, 40
1648, CC, 40
1658, DD, 39
1667, AA, 43
1676, BB, 41
1685, CC, 41
1694, DD, 40
1703, BB, 42
1713, AA, 44
1722, CC, 42
1731, DD, 41
1740, AA, 45
1749, BB, 43
1758, CC, 43
1768, DD, 42
1779, AA, 46
1788, BB, 44
1797, CC, 44
1806, DD, 43
1815, BB, 45
1824, AA, 47
1834, CC, 45
1843, DD, 44
1852, AA, 48
1861, BB, 46
1870, CC, 46
1879, DD, 45
1889, AA, 49
1898, BB, 47
1907, CC, 47
1916, DD, 46
1925, BB, 48
1934, AA, 50
1944, CC, 48
1953, DD, 47
1962, AA, 51
1971, BB, 49
1980, CC, 49
1989, DD, 48
2000, AA, 52
2010, BB, 50
2019, CC, 50
2028, DD, 49
2037, BB, 51
2046, AA, 53
2055, CC, 51
2065, DD, 50
2074, AA, 54
2083, BB, 52
2092, CC, 52
2101, DD, 51
2110, AA, 55
2120, BB, 53
2129, CC, 53
2138, DD, 52
2147, BB, 54
2156, AA, 56
2165, CC, 54
2175, DD, 53
2184, BB, 55
2193, CC, 55
2202, AA, 57
2211, DD, 54
2222, AA, 58
2231, BB, 56
2241, CC, 56
2250, DD, 55
2259, BB, 57
2268, AA, 59
2277, CC, 57
2286, DD, 56
2296, BB, 58
2305, CC, 58
2314, AA, 60
2323, DD, 57
2332, AA, 61
2341, BB, 59
2351, CC, 59
2360, DD, 58
2369, BB, 60
2378, AA, 62
2387, CC, 60
2396, DD, 59
2406, BB, 61
2415, CC, 61
2424, AA, 63
2433, DD, 60
2444, AA, 64
2453, BB, 62
2462, CC, 62
2472, DD, 61
2481, BB, 63
2490, AA, 65
2499, CC, 63
2508, DD, 62
2517, BB, 64
2527, CC, 64
2536, AA, 66
2545, DD, 63
2554, AA, 67
2563, BB, 65
2572, CC, 65
2582, DD, 64
2591, BB, 66
2600, AA, 68
2609, CC, 66
2618, DD, 65
2627, BB, 67
2637, CC, 67
2646, AA, 69
2655, DD, 66
2666, AA, 70
2675, BB, 68
2684, CC, 68
2693, DD, 67
2703, BB, 69
2712, AA, 71
2721, CC, 69
2730, DD, 68
2739, BB, 70
2748, CC, 70
2758, AA, 72
2767, DD, 69
2776, AA, 73
2785, BB, 71
2794, CC, 71
2803, DD, 70
2813, BB, 72
2822, AA, 74
2831, CC, 72
2840, DD, 71
2849, BB, 73
2858, CC, 73
2868, AA, 75
2877, DD, 72
2888, AA, 76
2897, BB, 74
2906, CC, 74
2915, DD, 73
2924, BB, 75
2934, AA, 77
2943, CC, 75
2952, DD, 74
2961, BB, 76
2970, CC, 76
2979, AA, 78
2989, DD, 75
2998, AA, 79
3007, BB, 77
3016, CC, 77
3025, DD, 76
3034, BB, 78
3044, AA, 80
3053, CC, 78
3062, DD, 77
3071, BB, 79
